4374	In the chronology of home computing, Commodore was one of the pioneers.The Commodore 64, launched in 1982, was one of the first affordable home PCs.Commodore International filed for bankruptcy in 1994 and was sold to Dutch firm Tulip Computers.The once-famous Commodore computer brand could be resurrected after being bought by a US-based digital music distributor.The Commodore 64 sold more than any other single computer system, even to this day.In the late 1980s the firm was a great rival to Atari, which produced its own range of home computers and is now a brand of video games, formerly known as Infogrames.	tech
3502	Dechy said.The Belgian sports minister at the centre of the Svetlana Kuznetsova doping row says he will not apologise for making allegations against her.Eerdekens said he made the statement in order to protect the other three players that took part in the tournament, Belgian Justine Henin-Hardenne, Nathalie Dechy of France and Russia's Elena Dementieva.Dementieva is also angry and says that Dechy and herself are the real victims of the scandal."The WTA are trying to handle this problem by saying there are three victims, but I see only two victims in this story - me and Nathalie Dechy, who really have nothing to do with this.It's been too hard on me," she said.But Dechy is fuming that she has been implicated in the row.Criticised for making the announcement, he said: "I will never apologise.The Russian said she did nothing wrong by taking the medicine during the event.	sport
119	Slower consumer spending and a quieter housing market are likely to have convinced the MPC that rates should be left unchanged in recent months.Howard Archer, economist at Global Insight said the MPC "may well consider that the balance of risks to the growth and inflation outlook have moved from the downside to the upside".Economists see next week's inflation report from the MPC as key in assessing whether a further interest rate rise is necessary to keep the economy in check.Interest rates rose five times between November 2003 and August 2004 as soaring house prices and buoyant consumer data sparked inflation fears.Philip Shaw, chief economist at Investec Securities, said he believed rates would remain at 4.75% for the rest of the year although strong economic data could lead to a further hike.The British Chambers of Commerce (BCC) said it was "concerned by the clamour in some quarters" for early interest rate increases.The Bank of England has left interest rates on hold at 4.75% for a sixth month in a row.Data on Wednesday also showed manufacturing output rose at its fastest rate since May last month, reinforcing a view that economic growth was stronger than forecasts."Growth appears stronger and the MPC may become more concerned about inflation trends."	business
2019	But the Scottish Executive has insisted Mr McConnell was speaking about adults and his comments were "a recognition that people will get drunk".Mr MacDonell said: "I think the problem here is that he did say a lot more things about binge drinking and under age drinking.Mr MacDonell, political editor of The Scotsman, said: "I think we have to say right at the outset that this was a very stupid and ill-advised remark by the first minister.Mr MacDonell said that the first minister should know by now that if he said things which were "off the mark", they were bound to "come back and bite him".He added: "Here, Mr McConnell was talking in the Highlands to 100 teenagers and every word he said was put out on a webcast by the Scottish Executive and then looked at by other politicians and reporters.He said it was vital that young people were properly informed about the risks incurred to themselves and others when they got drunk.The media attention had helped to move the focus from Scotland's binge drinking problems, Mr Law said.The one-sentence comment was immediately criticised by the Scottish National Party which accused him of encouraging young people to get drunk.Mr McConnell was speaking on Monday to more than 100 secondary pupils from schools in the Highlands about the problems of binge drinking and drink promotions.He said he accepted that young people drank and they did have problems with drink.Mr Law added: "I think the remark was ill-advised - but these remarks are blown out of all proportion and they so easily misrepresent what we are trying to do in Scotland.	politics
3347	Brian Moore believes the England captain should not be a full-back.And Moore believes the last two games against Italy and Scotland are a good opportunity to experiment further.And former England captain Moore told the BBC: "Full-backs are too far away from the action."The problem is the players that are around to replace the icons which have been lost because of retirement and injury don't have the requisite experience," Moore added.Their creativity depends on quick ball and we're not getting that.""Wer'e not getting quick ball, which means the backs are being stifled.Moore says a lack of cohesion in the forwards is one of the reasons why England have lost against Wales, France and Ireland in this year's tournament.	sport
3408	Now the Italians travel to Edinburgh hoping to claim their first away win in the Six Nations.Italy have only recorded three wins since they joined the Six Nations in 2000, but two of those have come against Scotland.Italy skipper Marco Bortolami believes Saturday's Six Nations contest against Scotland will be a scrappy encounter."It will not be a pretty game because both teams are desperate to gain their first win," said the lock forward.With both sides looking for their first win of the championship, the third-round game at Murrayfield has been billed as a wooden-spoon decider.	sport
2183	Former Northern Ireland minister Sir Nicholas Scott has died at a London hospice, his family has announced.As a Northern Ireland minister he dealt with education and later security where he rode out the mass IRA escape from the Maze in 1983.After leaving Northern Ireland in a reshuffle, he became a UK disability minister.Sir Nicholas was replaced as the member for Kensington and Chelsea by the flamboyant Alan Clark, after being deselected by his constituency in December 1996.Sir Nicholas claimed strong painkillers he was taking for a back problem had reacted badly with a small amount of alcohol.Sir Nicholas was a strong defender of the Anglo-Irish Agreement and was held in esteem in Dublin government and SDLP circles.Victoria, a lobbyist for disabled rights, denounced her father's actions and heaped insult on injury when she joined the calls for him to resign.	politics
179	Irish billionaires Mr McManus and Mr Magnier are said to believe that an £800m bid undervalues club prospects.Mr Magnier and Mr McManus, who hold their stake through their Cubic Expression investment vehicle have the power to block a bid.Mr Magnier and Mr McManus issued a statement late on Friday saying that they remained "long-term investors" in Man Utd.Mr Glazer has been stalking the premier league football club since 2003.	business
4284	Security firm iDefence, which notified users of the problem, recommended that users upgrade to iTunes version 4.7.1.The problem affects all users of iTunes - Windows and Mac OS - running versions 4.7 and earlier.A new version of iTunes is now available from the Apple website which solves the problem.Users of Apple's music jukebox iTunes need to update the software to avoid a potential security threat.	tech
3474	But I was fighting."Sharapova, who lost 6-2 6-2 to Kuznetsova in Beijing in September, said: "In Beijing, she was coming off such a big winning streak [14 matches] and she was unstoppable."It was lots of pressure.France's Mauresmo routed Vera Zvonareva 6-1 6-0, while Wimbledon champion Sharapova was a 6-1 6-4 winner over fellow Russian Svetlana Kuznetsova."She got mad a little bit and I played some great tennis," said Mauresmo, who was runner-up to Kim Clijsters in last year's final.I want to get the ranking back, but it's very different than before I was number one."It was an obsession, but now I take it in a relaxed way."Mauresmo's win was her ninth in a row as she tries to overtake Lindsay Davenport for the number one spot."This time, it was important to start off well and put some pressure on her.""It's hard to go out there and get it right but I'm fighting and I'm hoping," said Williams.The tournament debutant added: "I love it here.	sport
